@RELATION testKashtanka

@ATTRIBUTE _isname REAL
@ATTRIBUTE _gender REAL
@ATTRIBUTE _animate REAL
@ATTRIBUTE _frequency REAL
@ATTRIBUTE _mainword REAL
@ATTRIBUTE _dependentverbs REAL
@ATTRIBUTE _dependenceofverb REAL
@ATTRIBUTE _dependentnoun REAL
@ATTRIBUTE _dependenceofnoun REAL
@ATTRIBUTE _dependentadjective REAL
@ATTRIBUTE _intem REAL
@ATTRIBUTE class {'object','person','something'}

@DATA
0,-1,0,1,0,0,0,0,0,0,-0.0970873786407767,'something'
0,1,0,7,3,1,0,1,1,0,0.2038834951456311,'object'
0,-1,0,1,0,0,0,0,0,0,-0.0970873786407767,'something'
0,0,0,2,0,0,0,0,0,0,-0.06019417475728156,'something'
0,1,0,1,0,0,0,0,0,0,-0.5359223300970873,'person'
0,0,0,1,0,0,0,0,0,0,-0.0970873786407767,'something'
0,0,0,3,1,0,2,0,0,0,-0.15533980582524276,'something'
0,-1,0,1,0,0,0,0,0,0,0.3844660194174757,'object'
0,0,1,1,1,0,0,0,0,0,-0.0970873786407767,'person'
0,-1,0,1,0,0,0,0,0,0,-0.36699029126213595,'something'
0,-1,0,1,1,0,0,0,0,0,0.21553398058252426,'something'
0,-1,0,1,0,0,0,0,0,0,-0.36699029126213595,'something'
0,1,1,3,0,0,3,0,0,0,-0.07572815533980581,'object'
0,0,0,2,0,0,0,0,0,0,-0.06019417475728156,'something'
0,-1,0,1,0,0,0,0,0,0,-0.036893203883495145,'something'
0,-1,1,2,0,0,0,0,0,0,-0.2077669902912621,'person'
0,-1,0,1,0,0,0,0,0,0,-0.2077669902912621,'something'
0,-1,1,3,0,0,0,0,0,0,0.5436893203883495,'person'
0,0,0,2,0,0,0,0,0,2,-0.06019417475728156,'something'
0,-1,0,1,1,0,1,1,1,0,0.24466019417475726,'object'
0,-1,0,1,0,0,0,0,0,0,-0.2077669902912621,'something'
0,1,0,2,0,0,2,0,0,0,0.21553398058252426,'object'
0,1,0,2,0,0,0,0,0,0,-0.5359223300970873,'object'
