@RELATION testPopovna

@ATTRIBUTE _isname REAL
@ATTRIBUTE _gender REAL
@ATTRIBUTE _animate REAL
@ATTRIBUTE _frequency REAL
@ATTRIBUTE _mainword REAL
@ATTRIBUTE _dependentverbs REAL
@ATTRIBUTE _dependenceofverb REAL
@ATTRIBUTE _dependentnoun REAL
@ATTRIBUTE _dependenceofnoun REAL
@ATTRIBUTE _dependentadjective REAL
@ATTRIBUTE _intem REAL
@ATTRIBUTE class {'object','person','something'}

@DATA
0,1,0,1,0,0,0,0,0,0,-0.7644710578842315,'something'
0,1,0,1,0,0,0,0,0,0,0.12974051896207583,'something'
0,1,0,1,0,0,4,0,0,0,0.003992015968063867,'person'
0,-1,0,1,2,0,0,0,0,0,0.1477045908183633,'object'
0,-1,0,3,1,0,0,0,1,0,0.3053892215568862,'object'
0,0,1,2,0,0,3,0,0,0,-0.16966067864271456,'person'
0,-1,0,3,1,1,1,0,0,0,0.003992015968063867,'object'
1,-1,1,6,4,0,0,4,0,0,0.43313373253493015,'person'
0,0,0,2,1,0,0,1,0,0,0.005988023952095809,'object'
0,0,0,4,0,0,0,0,0,0,0.3912175648702595,'object'
0,0,0,1,0,0,0,0,0,0,0.003992015968063867,'something'
0,1,0,1,0,0,0,0,0,0,-0.7644710578842315,'something'
0,-1,1,2,1,1,0,0,0,0,-0.15568862275449102,'person'
0,-1,1,1,1,0,0,0,0,0,-0.08383233532934131,'person'
0,-1,1,1,0,0,0,0,0,0,-0.2774451097804391,'person'
0,0,0,2,0,0,0,0,0,0,-0.7644710578842315,'object'
0,1,0,1,0,0,0,0,0,0,-0.6047904191616766,'something'
0,0,0,1,0,0,0,0,0,0,-0.2774451097804391,'something'
0,0,0,1,0,0,0,0,0,0,0.003992015968063872,'something'
0,1,0,2,0,0,0,0,0,0,0.5249500998003992,'object'
0,-1,1,3,2,0,1,0,1,0,0.7564870259481038,'person'
0,1,0,1,0,0,0,0,0,0,0.0,'something'
0,-1,0,2,1,0,0,0,0,0,0.003992015968063867,'object'
0,1,0,1,0,0,0,0,0,0,-0.6047904191616766,'something'
0,0,0,2,1,0,0,1,0,0,-0.9261477045908183,'object'
0,1,1,1,0,0,0,0,0,0,-0.16966067864271456,'person'
0,-1,0,1,0,0,0,0,0,0,0.439121756487026,'something'
0,-1,0,2,0,0,0,0,0,0,0.003992015968063867,'object'
0,1,1,1,0,0,0,0,0,0,-0.2774451097804391,'person'
1,-1,1,2,1,0,0,0,0,0,-0.6047904191616766,'object'
0,1,1,1,0,0,0,0,0,0,-0.6047904191616766,'something'
0,1,0,4,0,0,2,0,0,0,0.5968063872255489,'object'
0,-1,0,3,2,0,0,0,1,0,0.16167664670658677,'object'
0,0,0,1,0,0,0,0,0,0,0.003992015968063867,'something'
0,-1,0,1,0,0,0,0,0,0,-0.7644710578842315,'something'
1,-1,1,2,0,0,0,0,0,0,-0.021956087824351295,'object'
0,0,0,1,0,0,0,0,0,0,-0.021956087824351295,'something'
0,0,0,1,0,0,0,0,0,0,-0.2774451097804391,'person'
0,-1,0,1,0,0,0,0,0,0,-0.6047904191616766,'something'
0,0,0,1,1,0,0,0,0,0,-0.46107784431137727,'object'
0,-1,0,3,2,2,0,0,0,0,0.7744510978043913,'object'
0,1,0,3,0,0,0,0,0,0,0.003992015968063867,'object'
0,-1,0,1,0,0,0,0,0,0,-0.6047904191616766,'something'
0,0,0,16,9,8,12,0,0,12,-0.001996007984031878,'person'
0,1,0,1,3,1,0,2,0,0,-0.1596806387225549,'object'
0,-1,0,1,0,0,0,0,0,0,-0.7644710578842315,'something'
0,1,0,1,0,0,0,0,0,0,-0.9261477045908183,'something'
0,-1,0,1,0,0,0,0,0,0,-0.46107784431137727,'something'
0,-1,0,1,0,0,0,0,0,0,-0.2774451097804391,'something'
1,-1,1,1,0,0,0,0,0,0,-0.03792415169660679,'something'
0,-1,0,1,0,0,0,0,0,0,-0.2774451097804391,'something'
0,0,0,7,0,0,1,0,0,0,0.33333333333333326,'object'
0,-1,0,1,1,0,0,0,0,0,-0.46107784431137727,'object'
0,1,0,1,0,0,0,0,0,0,-0.6047904191616766,'something'
0,-1,1,2,1,0,0,0,0,0,-0.2774451097804391,'person'
0,1,0,1,0,0,0,0,0,0,-0.7644710578842315,'something'
0,-1,0,1,0,0,0,0,0,0,-0.7644710578842315,'something'
0,1,0,1,0,0,0,0,0,0,-0.7644710578842315,'something'
0,-1,0,1,0,0,0,0,0,0,0.6826347305389222,'something'
0,-1,0,2,1,1,0,0,1,0,0.439121756487026,'object'
0,-1,0,2,1,0,0,0,2,0,0.003992015968063867,'object'
0,0,0,1,0,0,0,0,0,0,-0.46107784431137727,'something'
0,1,0,2,0,0,0,0,0,0,-0.46107784431137727,'object'
0,1,0,2,0,0,2,0,0,0,-0.2774451097804391,'object'
0,1,1,1,0,0,0,0,0,0,-0.7644710578842315,'person'
0,1,0,6,2,1,0,0,2,0,0.3393213572854291,'object'
0,1,0,1,0,0,0,0,0,0,-0.7644710578842315,'something'
0,-1,1,2,0,0,0,0,0,0,-0.2774451097804391,'person'
0,1,0,1,0,0,1,0,0,0,-0.9261477045908183,'something'
0,1,1,5,3,1,0,0,0,0,0.20958083832335328,'person'
0,0,0,2,0,0,0,0,0,0,-0.46107784431137727,'something'
0,0,0,1,0,0,0,0,0,0,-0.47105788423153694,'something'
0,1,0,1,0,0,0,0,0,0,-0.6047904191616766,'something'
1,-1,1,6,0,0,0,0,0,0,0.7245508982035929,'person'
0,0,0,1,0,0,0,0,0,0,-0.16966067864271456,'something'
1,1,1,1,0,0,2,0,0,0,0.5748502994011977,'object'
0,-1,0,2,0,0,0,0,0,0,0.3053892215568862,'something'
0,-1,1,2,0,0,0,0,0,0,0.5748502994011977,'person'
0,1,0,1,0,0,0,0,0,0,0.33133732534930144,'something'
0,0,0,4,2,0,0,0,1,0,0.43313373253493015,'object'
0,-1,1,5,10,2,0,0,1,0,0.7065868263473054,'person'
0,0,0,1,0,0,0,0,0,0,0.5249500998003992,'something'
0,-1,1,2,1,0,0,0,1,0,-0.16966067864271456,'person'
1,1,1,2,1,0,0,0,0,0,0.003992015968063867,'person'
0,-1,0,1,1,0,0,0,0,0,-0.2774451097804391,'object'
0,1,0,2,0,0,0,0,0,0,0.5249500998003992,'something'
0,1,0,2,0,0,0,0,0,0,-0.6047904191616766,'something'
0,1,1,1,0,0,0,0,0,0,-0.08383233532934131,'something'
0,-1,0,2,0,0,0,0,0,0,-0.46107784431137727,'something'
0,-1,0,2,1,0,0,0,0,0,0.5249500998003992,'object'
0,1,0,3,1,0,0,1,1,0,-0.15568862275449102,'object'
1,0,1,3,1,0,0,0,0,0,0.001996007984031878,'person'
0,1,0,2,0,0,0,0,0,0,-0.6047904191616766,'something'
0,-1,0,1,0,0,0,0,0,0,-0.03792415169660679,'something'
0,1,0,2,0,0,0,0,0,0,-0.6047904191616766,'something'
0,1,0,2,0,0,0,0,0,0,-0.9261477045908183,'something'
0,-1,0,1,0,0,0,0,0,0,-0.15568862275449102,'something'
0,-1,0,1,0,0,0,0,0,0,0.003992015968063867,'something'
1,1,1,1,0,0,0,0,0,0,0.0,'person'
0,-1,1,1,1,0,0,0,0,0,0.34930139720558884,'object'
0,1,1,2,0,0,0,0,0,0,-0.16966067864271456,'object'
0,1,0,5,1,0,3,0,1,0,0.3772455089820359,'object'
0,-1,0,1,0,0,0,0,0,0,0.6167664670658684,'something'
0,-1,0,1,0,0,0,0,0,0,0.3912175648702595,'something'
0,-1,0,1,0,0,0,0,0,0,-0.2774451097804391,'something'
0,0,0,1,0,0,0,0,0,0,-0.7644710578842315,'something'
0,-1,0,1,0,0,0,0,0,0,-0.46107784431137727,'something'
0,-1,0,3,0,0,2,0,0,0,0.1477045908183633,'object'
0,0,0,2,1,1,0,0,0,0,0.003992015968063872,'object'
0,-1,0,1,0,0,0,0,0,0,-0.16966067864271456,'something'
1,-1,1,1,0,0,0,0,0,0,-0.6047904191616766,'something'
0,0,0,1,1,2,0,1,1,0,-0.16966067864271456,'object'
0,1,1,2,1,0,0,1,2,0,-0.46107784431137727,'person'
0,0,0,1,0,0,0,0,0,0,-0.08383233532934131,'something'
0,0,0,1,0,0,0,0,0,0,-0.16966067864271456,'something'
0,-1,0,2,1,2,0,1,3,0,0.5968063872255489,'object'
0,0,0,1,0,0,0,0,0,0,-0.08383233532934131,'something'
0,-1,1,2,0,0,0,0,0,0,-0.08383233532934131,'something'
0,0,0,1,0,0,0,0,0,0,-0.03792415169660679,'something'
0,-1,1,2,1,1,0,0,2,0,-0.2774451097804391,'person'
0,-1,0,1,1,0,0,0,0,0,-0.2774451097804391,'object'
0,-1,1,2,0,0,0,0,0,0,-0.7644710578842315,'person'
0,1,0,2,1,0,0,0,0,0,0.003992015968063867,'object'
0,1,0,1,0,0,0,0,0,0,-0.2774451097804391,'something'
0,-1,0,1,1,0,0,0,0,0,-0.2774451097804391,'person'
0,1,0,1,0,0,2,0,0,0,-0.7644710578842315,'object'
0,-1,0,1,0,0,0,0,0,0,-0.46107784431137727,'something'
0,1,0,1,1,0,0,1,0,0,-0.08383233532934131,'object'
0,-1,1,3,0,0,1,0,0,0,0.33133732534930144,'person'
0,-1,0,1,0,0,0,0,0,0,0.3912175648702595,'something'
0,0,1,10,4,0,0,2,3,0,0.20359281437125742,'object'
0,0,0,1,1,1,0,0,1,0,-0.08383233532934131,'object'
0,0,0,1,0,0,0,0,0,0,-0.46107784431137727,'something'
0,1,0,1,1,0,0,0,0,0,-0.6047904191616766,'object'
0,-1,0,1,0,0,0,0,0,0,-0.16966067864271456,'something'
0,1,0,2,0,0,0,0,0,0,-0.7644710578842315,'object'
0,0,0,3,2,1,0,0,1,0,0.1477045908183633,'object'
1,0,0,2,0,0,0,0,0,0,-0.08383233532934131,'object'
0,1,0,1,0,0,0,0,0,0,-0.16966067864271456,'something'
0,1,0,1,0,0,0,0,0,0,-0.15568862275449102,'something'
0,-1,0,1,0,0,0,0,0,0,-0.16966067864271456,'something'
