@RELATION trainLidianka

@ATTRIBUTE _isname REAL
@ATTRIBUTE _gender REAL
@ATTRIBUTE _animate REAL
@ATTRIBUTE _frequency REAL
@ATTRIBUTE _mainword REAL
@ATTRIBUTE _dependentverbs REAL
@ATTRIBUTE _dependenceofverb REAL
@ATTRIBUTE _dependentnoun REAL
@ATTRIBUTE _dependenceofnoun REAL
@ATTRIBUTE _dependentadjective REAL
@ATTRIBUTE _intem REAL
@ATTRIBUTE class {'object','person','something'}

@DATA
0,-1,1,2,1,0,0,0,0,0,0.0,'person'
0,0,0,8,5,3,0,12,2,0,-0.020779220779220786,'person'
1,1,1,1,1,0,0,0,0,0,-0.0987012987012987,'person'
1,1,1,1,0,0,0,0,0,0,-0.40519480519480516,'person'
0,1,1,1,0,0,0,0,0,0,0.1272727272727272,'person'
1,-1,1,3,1,0,1,0,0,0,-0.06753246753246755,'person'
0,-1,1,3,3,1,0,0,1,0,0.7506493506493507,'person'
0,-1,1,5,3,2,0,0,1,0,0.7402597402597403,'person'
0,-1,1,2,1,0,0,0,2,0,-0.0987012987012987,'person'
0,1,1,1,0,0,0,0,0,0,-0.42337662337662335,'person'
0,1,1,3,2,0,0,0,0,0,0.48571428571428577,'person'
1,0,1,4,2,0,0,1,0,0,0.2623376623376623,'person'
0,1,1,3,3,2,0,0,1,0,0.5038961038961038,'person'
0,1,1,19,16,8,0,2,3,0,0.787012987012987,'person'
1,1,1,2,1,0,0,0,0,0,-0.5532467532467532,'person'
0,-1,1,6,3,2,1,1,3,0,0.7662337662337663,'person'
0,-1,1,1,0,0,0,0,0,0,-0.0987012987012987,'person'
0,-1,1,4,3,0,0,3,0,0,0.17922077922077917,'person'
1,-1,1,2,1,0,0,1,0,0,-0.5532467532467532,'person'
1,1,1,7,5,0,0,5,0,0,0.38961038961038963,'person'
0,-1,1,1,0,0,0,0,0,0,0.015584415584415583,'person'
0,1,1,2,1,1,0,0,0,0,-0.1922077922077922,'person'
0,-1,1,1,0,0,0,0,0,0,-0.1922077922077922,'person'
0,1,1,1,0,0,0,0,0,0,-0.40519480519480516,'person'
0,-1,1,2,0,0,0,0,0,0,-0.7454545454545455,'person'
0,1,0,1,0,0,0,0,0,0,-0.04155844155844156,'person'
0,-1,1,2,1,0,0,0,0,0,-0.1922077922077922,'person'
0,1,1,1,0,0,0,0,0,0,-0.5532467532467532,'person'
0,-1,1,2,0,0,0,0,0,0,-0.04155844155844156,'person'
0,0,0,1,1,0,0,0,0,0,-0.40519480519480516,'person'
1,-1,1,2,0,0,0,0,0,0,-0.7454545454545455,'person'
1,1,1,7,0,0,0,0,0,0,0.8441558441558441,'person'
0,1,1,2,1,0,0,0,0,0,-0.40519480519480516,'person'
